pattern_id,step,player_id,team,role,from_x,from_y,to_x,to_y,context,intent,timestamp
1,1,1,A,technician,0.537,0.912,2.038,0.588,attack,lure_attention,2026-05-27 13:47:32
1,2,1,A,technician,2.125,0.625,4.2,0.588,attack,lure_attention,2026-05-27 13:47:32
1,3,1,A,technician,4.312,0.675,4.325,1.788,attack,lure_attention,2026-05-27 13:47:32
1,4,1,A,technician,4.3,1.8,2.725,1.825,attack,lure_attention,2026-05-27 13:47:32
1,5,1,A,technician,2.725,1.8,0.775,1.163,attack,lure_attention,2026-05-27 13:47:32
2,1,2,A,defender,0.5,3.038,1.0,2.225,transition,shield_attack_support,2026-05-27 13:47:32
2,2,2,A,defender,1.0,2.225,4.812,4.987,transition,shield_attack_support,2026-05-27 13:47:32
3,1,3,A,main_attacker,0.5,5.0,1.7,5.713,attack,direct_attack,2026-05-27 13:47:32
3,2,3,A,main_attacker,1.788,5.7,4.138,4.963,attack,direct_attack,2026-05-27 13:47:32
4,1,4,B,main_attacker,9.475,0.963,8.2,0.65,defend,gap_exploit,2026-05-27 13:47:32
4,2,4,B,main_attacker,8.238,0.688,8.225,1.8,defend,gap_exploit,2026-05-27 13:47:32
4,3,4,B,main_attacker,8.225,1.8,9.475,1.238,defend,gap_exploit,2026-05-27 13:47:32
5,1,5,B,defender,9.65,3.025,9.425,2.225,defend,shield_feint,2026-05-27 13:47:32
5,2,5,B,defender,9.375,2.375,9.6,3.75,defend,shield_feint,2026-05-27 13:47:32
6,1,6,B,technician,9.5,5.112,9.562,4.287,defend,bait_inward,2026-05-27 13:47:32
6,2,6,B,technician,9.675,4.287,9.662,5.688,defend,bait_inward,2026-05-27 13:47:32
6,3,6,B,technician,9.338,5.675,9.375,4.213,defend,bait_inward,2026-05-27 13:47:32
7,1,1,A,technician,0.45,1.038,1.913,1.775,attack,support_fire,2026-05-27 14:10:39
7,2,1,A,technician,2.038,1.8,4.725,0.562,attack,support_fire,2026-05-27 14:10:39
7,3,1,A,technician,4.475,0.562,0.6,0.487,attack,support_fire,2026-05-27 14:10:39
7,4,1,A,technician,0.625,0.562,2.288,0.725,attack,support_fire,2026-05-27 14:10:39
18,1,1,A,defender,0.575,5.037,4.338,5.025,attack,shield_attack_support,2026-05-27 14:10:39
18,2,1,A,defender,4.088,5.175,2.275,5.237,attack,shield_attack_support,2026-05-27 14:10:39
18,3,1,A,defender,2.413,5.388,4.487,5.05,attack,shield_attack_support,2026-05-27 14:10:39
8,1,2,A,defender,0.425,3.05,1.825,2.237,transition,shield_attack_support,2026-05-27 14:10:39
8,2,2,A,defender,1.925,2.212,4.7,4.85,transition,shield_attack_support,2026-05-27 14:10:39
9,1,4,B,defender,9.575,0.9,9.113,0.575,defend,shield_feint,2026-05-27 14:10:39
10,1,5,B,defender,9.512,3.038,9.025,3.562,defend,shield_feint,2026-05-27 14:10:39
11,1,6,B,defender,9.588,5.025,9.1,4.425,defend,shield_protect,2026-05-27 14:10:39
12,1,1,A,technician,0.55,1.262,2.737,0.5,attack,create_space,2026-05-28 14:19:08
12,2,1,A,technician,2.788,0.562,2.788,1.725,attack,create_space,2026-05-28 14:19:08
12,3,1,A,technician,2.788,1.762,4.862,0.5,attack,create_space,2026-05-28 14:19:08
12,4,1,A,technician,4.862,0.55,4.875,1.75,attack,create_space,2026-05-28 14:19:08
12,5,1,A,technician,4.862,1.775,0.487,1.7,attack,create_space,2026-05-28 14:19:08
13,1,2,A,defender,0.525,3.038,1.9,3.038,transition,shield_attack_support,2026-05-28 14:19:08
13,2,2,A,defender,1.962,3.025,4.737,4.987,transition,shield_attack_support,2026-05-28 14:19:08
14,1,3,A,main_attacker,0.362,5.013,1.4,5.675,attack,direct_attack,2026-05-28 14:19:08
14,2,3,A,main_attacker,1.613,5.713,4.225,4.675,attack,direct_attack,2026-05-28 14:19:08
